id_candidato;nombre;twitter_status;twitter_count;tiktok_status;tiktok_count;facebook_status;facebook_count;timestamp
cepeda_ivan;Iván Cepeda Castro;Sin resultados;0;OK;77;OK;100;2026-06-21 19:42:10
delaespriella_abelardo;Abelardo De la Espriella;OK;5;OK;54;OK;85;2026-06-21 19:46:25
