id_candidato;Candidato;tiktok_username;tiktok_followers;tiktok_fecha_captura;twitter_username;twitter_followers;twitter_fecha_captura;facebook_username;facebook_followers;facebook_fecha_captura
COL-52001-006;Nicolas Martin Toro Muñoz;nicolastoro2024;10894.0;2026-06-15 21:40;NicolasToro2024;1937.0;2026-06-15 19:04;nicolastoro24;23000.0;2026-06-15 21:11
COL-52001-003;Nilsa Rocio Villota Rosero;nilsavillotarosero;2054.0;2026-06-15 21:40;NilsaVillotaR;2172;2026-06-15 21:54;NilsaVillotaR;2700.0;2026-06-15 21:11
COL-23001-006;Natalia Eugenia Lopez Fuentes;nlopezfuentes;27994.0;2026-06-15 21:40;nlopezfuentes;4397;2026-06-15 21:54;natalialofuentes;24000.0;2026-06-15 21:11
COL-66170-004;Oscar Mauricio Toro Valencia;omaurotoro;2190.0;2026-06-15 21:40;omauriciotoro;223;2026-06-15 21:54;omaurotoro;20000.0;2026-06-15 21:11
COL-76001-006;Edilson Huerfano Ordoñez;padrehuerfano1;39481.0;2026-06-15 21:40;padrehuerfano;92;2026-06-15 21:54;PadreHuerfano1;32000.0;2026-06-15 21:11
COL-05001-011;Maria Paulina Aguinaga Lezcano;pauaguinaga;3861.0;2026-06-15 21:40;PauAguinaga;11892;2026-06-15 21:54;PaulinaAguinagaL;8800.0;2026-06-15 21:11
COL-17001-010;Paula Andrea Toro Santana;pautorosantana;1882.0;2026-06-15 21:40;pautorosantana;1329;2026-06-15 21:54;pautorosantana;3300.0;2026-06-15 21:11
COL-11001-007;Rafael Alfonso Quintero Mora;rafaelquinterom;2106.0;2026-06-15 21:40;Raquim55;77;2026-06-15 21:54;rafaelquinteromora;909.0;2026-06-15 21:11
COL-05266-001;Raul Eduardo Cardona Gonzalez;raulcardona_envigado;3104.0;2026-06-15 21:40;RaulCardonaENV;6177;2026-06-15 21:54;RaulCardonaEnvigado;30000.0;2026-06-15 21:11
COL-73001-003;Renso Alexander Garcia Parra;renzo.garcia1;10918.0;2026-06-15 21:40;renzogarciap;6200;2026-06-15 21:54;RenzoGarciaP;47000.0;2026-06-15 21:11
